0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(540.0, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(573.75, 1080.0)","(540.0, 690.0)","(540.0, 630.0)","(506.25, 390.0)","(843.75, 750.0)","(708.75, 720.0)","(573.75, 690.0)","(489.375, 690.0)","(421.875, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(540.0, 1050.0)","(556.875, 1380.0)","(540.0, 1470.0)","(573.75, 1080.0)","(540.0, 690.0)","(540.0, 630.0)","(506.25, 390.0)","(826.875, 750.0)","(708.75, 720.0)","(573.75, 690.0)","(489.375, 690.0)","(421.875, 540.0)","(590.625, 480.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(540.0, 1050.0)","(556.875, 1380.0)","(540.0, 1470.0)","(573.75, 1080.0)","(540.0, 660.0)","(540.0, 630.0)","(523.125, 390.0)","(826.875, 750.0)","(708.75, 720.0)","(573.75, 690.0)","(489.375, 690.0)","(421.875, 540.0)","(776.25, 690.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(590.625, 1080.0)","(540.0, 1050.0)","(540.0, 1410.0)","(540.0, 1470.0)","(573.75, 1080.0)","(540.0, 660.0)","(540.0, 630.0)","(523.125, 390.0)","(826.875, 750.0)","(708.75, 720.0)","(573.75, 690.0)","(489.375, 690.0)","(421.875, 540.0)","(776.25, 690.0)"
"(540.0, 1770.0)","(624.375, 1410.0)","(590.625, 1080.0)","(540.0, 1050.0)","(556.875, 1410.0)","(523.125, 1710.0)","(573.75, 1080.0)","(540.0, 660.0)","(540.0, 630.0)","(506.25, 390.0)","(826.875, 750.0)","(708.75, 750.0)","(556.875, 690.0)","(489.375, 690.0)","(675.0, 660.0)","(658.125, 630.0)"
"(540.0, 1770.0)","(624.375, 1410.0)","(573.75, 1080.0)","(523.125, 1080.0)","(556.875, 1410.0)","(523.125, 1710.0)","(573.75, 1080.0)","(540.0, 690.0)","(540.0, 630.0)","(523.125, 390.0)","(826.875, 750.0)","(708.75, 750.0)","(573.75, 690.0)","(489.375, 690.0)","(708.75, 660.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(624.375, 1410.0)","(573.75, 1080.0)","(523.125, 1050.0)","(556.875, 1410.0)","(523.125, 1710.0)","(556.875, 1080.0)","(540.0, 690.0)","(540.0, 630.0)","(523.125, 390.0)","(843.75, 750.0)","(708.75, 750.0)","(556.875, 690.0)","(489.375, 690.0)","(658.125, 630.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(641.25, 1410.0)","(556.875, 1080.0)","(506.25, 1080.0)","(556.875, 1410.0)","(523.125, 1710.0)","(556.875, 1110.0)","(540.0, 690.0)","(540.0, 630.0)","(523.125, 390.0)","(843.75, 750.0)","(708.75, 750.0)","(573.75, 690.0)","(489.375, 690.0)","(725.625, 660.0)","(742.5, 660.0)"
"(540.0, 1770.0)","(658.125, 1440.0)","(540.0, 1110.0)","(489.375, 1080.0)","(573.75, 1410.0)","(691.875, 660.0)","(540.0, 1110.0)","(556.875, 690.0)","(556.875, 660.0)","(540.0, 390.0)","(843.75, 780.0)","(843.75, 750.0)","(607.5, 690.0)","(489.375, 690.0)","(438.75, 570.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(675.0, 1440.0)","(523.125, 1110.0)","(590.625, 1140.0)","(725.625, 660.0)","(540.0, 1590.0)","(556.875, 1110.0)","(556.875, 720.0)","(556.875, 660.0)","(573.75, 420.0)","(877.5, 780.0)","(725.625, 750.0)","(607.5, 720.0)","(506.25, 720.0)","(742.5, 690.0)","(691.875, 660.0)"
"(540.0, 1770.0)","(675.0, 1440.0)","(523.125, 1140.0)","(472.5, 1110.0)","(708.75, 1410.0)","(540.0, 1590.0)","(506.25, 1140.0)","(556.875, 720.0)","(573.75, 690.0)","(556.875, 420.0)","(877.5, 780.0)","(725.625, 780.0)","(624.375, 750.0)","(506.25, 720.0)","(455.625, 600.0)","(708.75, 690.0)"
"(540.0, 1770.0)","(691.875, 1470.0)","(506.25, 1140.0)","(455.625, 1140.0)","(742.5, 720.0)","(523.125, 1710.0)","(489.375, 1140.0)","(573.75, 750.0)","(573.75, 720.0)","(573.75, 450.0)","(776.25, 720.0)","(742.5, 810.0)","(607.5, 750.0)","(523.125, 750.0)","(776.25, 720.0)","(742.5, 720.0)"
